Ground Truth,Google OCR,ED Google OCR,MP,ED MP,LM Low,ED LM Low,LM Medium,ED LM Medium,LM High,ED LM High
"def is_prime(n):
  """"""
  Returns True if n is prime, False otherwise.
  """"""
  if n <= 1:
    return False
  for i in range(2, int(n**0.5) + 1):
    if n % i == 0:
      return False
  return True

def main():
  """"""
  The main function.
  """"""
  n = int(input(""Enter a number: ""))
  if is_prime(n):
    print(n, ""is a prime number."")
  else:
    print(n, ""is not a prime number."")

if __name__ == ""__main__"":
  main()","def is-prime (n):
DON
if
Returns True if n is prime, False otherwise.
|(α ||
if n <
n < = 1:
return False
for i in range (2, int(n** 0.5) +1);
if n % i = = 0;
def main():
return True
[((11
The main function.
Int
return False
14
n = int ( input (""Enter a number: "")
if is-prime (n):
print (n
else:
""is a
main()
print (n. ""is not a prime number."")
name__ ==
prime number."")
11
main.
--
})",166,"def is-prime \( (n) \) :
Returns True if \( n \) is prime, False otherwise.
IIU11
if \( n<=1 \) :
return False
for \( i \) in range \( \left(2, \operatorname{int}\left(n^{* *} 0.5\right)+1\right) \) :
if \( n \% i==0 \) :
retum False
return True
def \( \operatorname{main}() \) :
IIIII
The main function.
1....
\( n=\operatorname{int} \) (input (""Enter a number: "")
if is-prime \( (n) \) :
print \( (n \), ""is a prime number."")
else:
print ( \( n \), ""is not a prime number."")
if \( \ldots \) name _. \( =="" \) main .. ""
\( \operatorname{main}() \)",252,"
def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise.
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i == 0:
            return False
    return True


def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")


if __name__ == ""__main__"":
    main()
",54,"
def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise.
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i == 0:
            return False
    return True

def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")

if __name__ == ""__main__"":
    main()
",52,"
def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise.
    """"""
    if n<=1:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i==0:
            return False
    return True

def main():
    """"""
    The main function.
    """"""
    n=int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")

if __name__ == ""__main__"":
    main()
",57
"#Reverse String
def main():
    str = input(""Input a string: "")
    r_str=""""
    for i in str:
        r_str=i+r_str
    print(r_str)
        

if __name__ == ""__main__"":
    main()","#Reverse String
def mam ():
str = input (""Input a string: "")
ro_str=
for i m str:
||||
if_name
r_str=i+r_stra
primt (r_stro)
mam ()
_maim_"":",78,"\# Reverse string
def \( \operatorname{mam}() \) :
stro = input (""Input a string: "")
rostro \( ="" 11 \)
for i instr:
\[
r_{-} s t r=i+r_{-} s t r
\]
print (r_stro)
\[
\begin{array}{l}
\text { if_name- }=="" \text {-main_: } \\
\operatorname{mam} \text { () }
\end{array}
\]",156,"
# Reverse string
def man():
	stro = input(""Input a string: "")
	r_stro = """"
	for i in stro:
		r_stro = i + r_stro
	print(r_stro)

if __name__ == ""__main__"":
	man()
",55,"
# Reverse string
def mam():
	stro = input (""Input a string: "")
	r_stro = ''
	for i in stro:
		r_stro = i + r_stro
	print (r_stro)

if __name__ == ""__main__"":
	mam()
",60,"
# Reverse string
def mam():
    stro = input(""Input a string: "")
    r_str = """"
    for i in stro:
        r_str = i + r_str
    print(r_str)

if __name__==""__main__"":
    mam()            
",39
"#Write a Python program to find the longest word in a given text
def main():
    sentence=input(""Input a sentence: "")
    list=sentence.split()
    l_word=""""
    for word in list:
    
        if len(word)>len(l_word):
            l_word= word
    print(l_word)
    
        
if __name__ == ""__main__"":
    main()","# Write a Python program to find the longest word in a given text
def maint):
sentence = imput (""Input a sentence: "")
list = sentence.split()
Lword =
for world im List:
if len (word) >len (1-word):
1_ word = word
primt (1- word)
if_name_ == ""_mam_"":
main ()",99,"\# Write a Python program to find the longest word a \( m \) a given text def main \( ( \) ):
sentence = imput (""Input a sentence: "")
list = sentence.split ()
lword = "" ""
for word im list:
if len (word) >len (1-word):
\[
\text { 1_word }=\text { word }
\]
primt (1-word)
if name_ \( == \) ""-main_"".
\( \operatorname{main}() \)",137,"
# Write a Python program to find the longest word a ( m ) a given text
def main ():
    sentence = input (""Input a sentence: "")
    list = sentence.split ()
    lword = "" ""
    for word in list:
        if len (word) >len (lword):
            lword = word
    print (lword)
if __name__ == ""__main__"":
    main()
",48,"
# Write a Python program to find the longest word in a given text
def main():
    sentence = input(""Input a sentence: "")
    list = sentence.split()
    lword = "" ""
    for word in list:
        if len(word) > len(lword):
            lword = word
    print(lword)
if __name__ == ""__main__"":
    main()
",36,"
# Write a Python program to find the longest word in a given text
def main():
    sentence = input(""Input a sentence: "")
    word_list = sentence.split()
    lword = """"
    for word in word_list:
        if len(word) > len(lword):
            lword = word
    print(lword)
if __name__ == ""__main__"":
    main()
",45
"def greatest_common_divisor(a,b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a%i == 0 and b%i == 0:
            common_divisor.append(i)
    return common_divisor[-1]","def greatest common_divisor(a,b):
smaller_number=a if azb else b
common_divisor= []
for i in range (1, smaller_number +1):
if a %i == 0 and b% i ==0:
common_divisor.append()
return common_divisor [-1]",50,"def greatest_common_divisor \( (a, b) \) :
smaller_number \( =a \) if \( a<b \) else \( b \) common_divisor \( =[] \)
for \( i \) in range \( (1 \), smaller number +1\( ) \) : if \( a \% i==0 \) and \( b \% i==0 \) : common_divisor. a ppend (i) return common_divisor \( [-1] \)",96,"
def greatest_common_divisor(a, b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
",7,"
def greatest_common_divisor(a, b):
	smaller_number = a if (a < b) else b
	common_divisors = []
	for i in range(1, smaller_number + 1):
		if (a % i == 0) and (b % i == 0):
			common_divisors.append(i)
	return common_divisors[-1]
",51,"
def greatest_common_divisor(a, b):
    smaller_number = a if a<b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0 :
            common_divisor.append(i)
    return common_divisor[-1]
",10
"def main():
    """"""
    The program should determine whether the given year is a leap year
    (divisible by 4, divisible by 100 but also by 400).
    """"""

    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below(in number form)."")
    Year = int(input(""Year : ""))
    print("" "")

    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" "" + ""is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" "" + ""is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
    
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        
        elif ask != ""Yes"" or ask != ""yes"" or ask != ""No"" or ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()","def main ():
The
should determine whether the given year is a leap year
(divisible by 4, divisible by loo but also by 400).
program
print (""This program will help you identify if a given year is a leap
or not."")
year
if
print ("" "")
()
identify_a_leap_year
ask_for_a_new_year_to_ identify ()
def identify_a_leap-year ():
print (""Please input
Year = int (imput ("" Year: ""))
print("" "")
else :
it (Year % 4 = = 0) or (Year %/ 100 ==0) or (Year % 400 ==0);
+ str (Year) +
+ "" is a leap year."")
V
print (""The Year
""+"" is not a leap year."")
print (""the Year
def ask_for_a_new_year_to_
white True:
-_name__
main ()
a year below (ill humber
if ask = =
+ str (Year).
-+
identify ():
print (')
ask - input (""Do you want to identify
print ("" "")
""__main__
form). "")
""Yes"" or ask
ask = = ""yes"" :
identify_a_ leap year ()
""
elif ask = = ""No"" or ask == ""no
a new year? Yes/No: "")
print (""Thank you. See you again!"")
break
elif ask != ""Yes
or ask != ""yes"" of ark! = ""No"" or ask != ""no"":
print (""Wrong keyword. Please type the exact keyword."")",502,"def \( \operatorname{main}() \) :
""The program should determine whether the given year is a leap year (divisible by 4, divisible by 100 but also by 400).
"" r""
print (""This program will help you identify if a given year is a leap year or not."")
privit ("" "")
identify - a - leap_year ()
ask_for_a new_year_to_identify ()
def identify - a l eap - year () :
print (""Please input a year below (in number form)."")
Year = int (input (""Year: ""))
print ("" "")
if \( ( \) Year \( \% 4=0) \) ) or \( ( \) Year \( \% 100=0) \) ) or \( ( \) Year \( \% 400=0) \) :
print (""The Year "" \( +\operatorname{str}( \) Year) + "" "" ""is a leap year."")
else:
\[
\text { print (""The Year ""+str (Year) }+ \text { "" "" "" is not a leap year."") }
\]
def ask_-fir_a_new - year_to_identify ():
white True:
print (' 1 )
ask = input (""Do you want to identify a new year? Yes/No:"") print ("" "")
if ask = = ""Yes "" or ask = = ""yes"":
identify - a - leap- year ()
elif ask \( == \) ""No"" or ask \( == \) ""no"" :
print (""Thank you. See you again!"")
break
elif ask ! = ""Yes or ask ! = ""yes"" a ask! = ""No"" or ask ! = ""no"":
print (""Wrong keyword. Please type the exact keyword."")
if .. name \( \ldots=="" \) main \( _{2}{ }^{\prime} \) :
main ()",405,"
def main():
    ""The program should determine whether the year is a leap year
    (divisible by 4, divisible by 100 but also by 400).""
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4==0) and ((Year % 100!=0) or (Year % 400==0)) :
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year ""+ str(Year) + "" is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print(' ')
        ask = input(""Do you want to identify a new year? Yes/No:"")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" and ask != ""yes"" and ask != ""No"" and ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()

",86,"
def main():
    """"""
    The program should determine whether the given year is a leap year
    (divisible by 4, divisible by 100 but also by 400).
    """"""
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4 == 0 and Year % 100 != 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year ""+str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print(' ')
        ask = input(""Do you want to identify a new year? Yes/No:"")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        else:
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",112,"
def main():
    """"""
    The program should determine whether the given year is a leap year
    (divisible by 4, divisible by 100 but also by 400).
    """"""
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if Year % 4 == 0 and (Year % 100 != 0 or Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year ""+str(Year) + "" is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print(' ')
        ask = input(""Do you want to identify a new year? Yes/No:"").lower()
        print("" "")
        if ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""no"":
            print(""Thank you. See you again!"")
            break
        else:
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()
",150
"sum = 0
number = input()
for i in number:
    sum += int(i)
print(sum)","Sun =
S
number
imput ()
for i in number:
Sun + =
int(i)
Print (surm)
N",22,"\[
\operatorname{sun}=\varnothing
\]
number = imput ()
for: in number:
\[
\text { sun }+=\operatorname{int}(i)
\]
print (sum)",67,"
sum = 0
number = input()
for i in number:
    sum += int(i)
print(sum)
",2,"
sum = 0
number = input()
for i in number:
		sum += int(i)
print(sum)
",6,"
sum = 0
number = input()
for i in number:
    sum += int(i)
print(sum)
",2
"def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n-1) * n
    

print(factorial(int(input())))","def factoria 1 (n):
if n <= 1 :
Return 1
else:
Return factorial (n-1) *
Prist (fractional (int (amput())))
h",52,"def factorial (n):
if \( n<1 \) :
Retunn 1
else:
Return factorial \( (n-1) * n \)
Print \( ( \) factarial \( (\operatorname{int}(\operatorname{imput}()))) \)",89,"
def factorial(n):
	if ( n<1 ):
		return 1
	else:
		return factorial(n-1) * n
print(factorial(int(input())))
",36,"
def factorial(n):
	if (n<1):
		return 1
	else:
		return factorial(n-1) * n
print(factorial(int(input())))
",37,"
def factorial(n):
	if ( n<1 ):
		return 1
	else:
		return factorial(n-1) * n 

print(factorial(int(input())))

",35
"year = int(input())

if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)","Year = int (impot
if yeur 1/4 = = $ and year 1/144 != 0 on Year 1.400 ==&=
Print (true)
else:
print (False)",36,"\[
\text { year }=\operatorname{int}(\text { impot })
\]
if Yearn \( \% \mu==\phi \) and year \( \% 1 \phi \phi !=\varnothing \) on Year \( \% 400==\phi \) :
Pine (true)
else:
print (False)",107,"
year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",3,"
year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",3,"
year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",3
"word = input()

word = """".join([i for i in word[::-1]])

print(word)","Word = imput()
word = """", join (I i for i in word [::
Print (word)",17,"\( \begin{array}{l}\text { Wond }=\operatorname{imput}() \\ \text { wand }="" \text { ""join }([i \text { for } i \text { in word }[\because-1]]) \\ \text { Print (wond) } \\\end{array} \)",135,"
word = input()
wand = """".join([i for i in word[:-1]])
print(wand)
",9,"
word = input()
wond = """".join([i for i in word[:-1]])
print(wond)
",7,"
word = input()
wond = ''.join([i for i in word[::-1]])
print(wond)
",8
"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]

list3 = [i for i in list1 if i in list2]

print(list3)","list 1 = [1, 2, 3, 4]
bist 2 = [3, 4, 5, 6]
in lista]
bist 3 = [i for i in list 1 if i in
Print (list 3)",26,"\( \begin{array}{l}\text { list } 1=[1,2,3,4] \\ \text { bist } 2=[3,4,5,6] \\ \text { fist } 3=[i \text { for } i \text { in list } 1 \text { if } i \text { in list }] \\ \operatorname{Pint}(\operatorname{list} 3)\end{array} \)",160,"
list1 = [1,2,3,4]
list2 = [3,4,5,6]
list3 = [i for i in list1 if i in list2]
print(list3)
",10,"
list1 = [1,2,3,4]
list2 = [3,4,5,6]
list3 = [i for i in list1 if i in list2]
print(list3)
",10,"
list1 = [1,2,3,4]
list2 = [3,4,5,6]
list3 = [i for i in list1 if i in list2]
print(list3)
",10
"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]

even = [i for i in list1 if i % 2 == 0]

print(even)","list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [ è for i in lists if */2==4]
Print (even)",14,"\( \begin{array}{l}\text { list } 1=[1,2,3,4,5,6,7,8,9] \\ \text { even }=[i \text { for } i \text { in list } 1 \text { if } i \% 2==] \\ \text { Print (even) }\end{array} \)",116,"
list1 = [1,2,3,4,5,6,7,8,9]
even = [i for i in list1 if i % 2 == 0]
print(even)
",12,"
list1=[1,2,3,4,5,6,7,8,9]
even=[i for i in list1 if i % 2 == 0]
print(even)
",16,"
list_1 = [1,2,3,4,5,6,7,8,9]
even = [i for i in list_1 if i % 2 == 0]
print(even)
",14
"def main():
    year = int(input())
    if (year % 4 == 0 and year % 100 != 0):
        print(""True"")
    elif (year % 100 == 0 and year % 400 == 0):
        print(""True"")
    else:
        print(""False"")
if __name__ == ""__main__"":
    main()","def main ():
year
= int (input())
if (year % 4 == 0 and year % 100 != 0):
print (""True"")
elif (year % 100 == 0 and year % 400 ==0):
print (""True"")
if
else:
print (""False"")
name__
main ()
!!
>>
_main__'",72,"def main ():
\[
\text { year }=\operatorname{int}(\operatorname{input}())
\]
if (year \% \( 4==0 \) and year \( \% 100 !=0 \) ):
print (""True"")
elif (year \( \% 100==0 \) and year \( \% 400==0 \) ):
print (""True"")
else:
print (""False"")
if __name__ = = ""_main_."":
\( \operatorname{main}() \)",131,"
def main():
	year = int(input())
	if (year % 4 == 0 and year % 100 != 0):
		print(""True"")
	elif (year % 100==0 and year % 400==0):
		print(""True"")
	else:
		print(""False"")

if __name__ == ""__main__"":
	main()
",51,"
def main():
    year = int(input())
    if (year % 4 == 0 and year % 100 != 0):
        print (""True"")
    elif (year % 100 == 0 and year % 400 == 0):
        print (""True"")
    else:
        print (""False"")
        
if __name__ == ""__main__"":
    main()
",14,"
def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")

if __name__ == ""__main__"":
    main()
",7
"from karel.stanfordkarel import *


def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()


def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()
    
def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()
    
def turn_around():
    turn_left()
    turn_left()
    
def step_up():
    move()
    move()
    move()
    move()

if __name__ == '__main__':
    main()","from
def
def
karel. stanford kavel import
main ():
build_column ()
step- up ()
build column()
step-up ()
build- column ()
def
step-up()
build- column()
build
column ():
turn-left()
build- beeper ()
build- beeper ()
build_ beeper ()
build-beeper ()
put - beeper ()
go - back()
turn - left ()
det build - beeper ():
put- beeper ()
move ()
go-back ():
turn around ()
step-up ()
def turn around ():
turn - left()
turn
left()
def step-up():
move ()
move ()
move ()
move ()
if - name
main ()
==
main
*",231,"from karel. Stanfordkavel import * def main ():
build_column ()
step - up ()
build - column ()
Step - up ()
build_column ()
Step - up ()
build - column()
def build - column ():
turn - left ()
build - beeper ()
build - beeper ()
build - beeper ()
buitd - beeper ()
put - beeper ()
go - back ()
turn - left ()
det build-beeper ():
put - beeper ()
move ()
det go-back ():
turn - around ()
step - up ()
dex turn - around () :
turn - left ()
turn - left()
def step-up ():
move ()
move ()
move ()
move ()
if _ name _ \( == \) 'main _ :
main ()",239,"
from karel.stanfordkarel import *
def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == '__main__':
    main()
",17,"
from karel.stanfordkarel import *

def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == 'main':
    main()
",20,"
from karel.stanfordkarel import *

def main ():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == '__main__':
    main()
",17
"def main():
    input_string = input('Input string: ')
    ret = """"
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)

if __name__ == '__main__':
    main()","def main ():
if
input_ string = input ('Input string; ')
11 11
ret =
for ch in input-string
ret
print ret
71
= ret + ch. uppert)
name__ =
main ()
main
20 07203",78,"def main ():
\[
\begin{array}{l}
\text { input_string = input ('Input string! ') } \\
\text { ret }="" 11
\end{array}
\]
for ch in input.string
\[
\text { ret }=\text { ret }+ \text { ch. upperd) }
\]
print ret
if name \( \operatorname{main}( \) )",124,"
def main():
    input_string = input('Input string! ')
    ret = """"
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)

if __name__ == ""__main__"":
    main()
",5,"
def main ():
    input_string = input('Input string: ')
    ret = """"
    for ch in input_string:
        ret += ch.upper()
    print(ret)

if __name__ == ""__main__"":
    main()
",12,"
def main():
    input_string = input('Input string! ')
    ret = ''
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)
    
if __name__ == '__main__':
    main()

",10
"from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()
  
def move_to_beeper():
    while front_is_clear():
        move()
    turn_right()
    move()
    turn_left()
    move()
    
def turn_around():
    turn_left()
    turn_left()","O
O
O
from Kare!. Stamford Karel impert
def main ():
mere to beeper ()
pick beeper ()
turn-around ()
return to_start()
def muere to beepet():
while front_is_clear ():
Move
turn_right()
more()
turu-left()
More()
det turn around ():
turn left ()
turn left ()",110,"from Karel. stanfordKarel import
def main ():
move to beeper ()
pick-beeper ()
turu_around ()
ceturn to_start()
def more to beeper ():
while frout_is_clear (1):
move
turn_right ()
more ()
turu-left()
morre()
def turu_around ():
turu left ()
turu left ()",100,"
from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move()
    turn_right()
    move()
    turn_left()
    move()

def turn_around():
    turn_left()
    turn_left()
",8,"
from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move()
        turn_right()
        move()
        turn_left()
        move()

def turn_around():
    turn_left()
    turn_left()
",24,"
from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move()
        turn_right()
        move()
        turn_left()
        move()

def turn_around():
    turn_left()
    turn_left()
",24
"from karel.stanfordkarel import *

def main():
    while front_is_clear():
        fill_tower()
    

def fill_tower():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
    column_return()
    
def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()    
    
    
def turn_around():
    for i in range(2):
        turn_left()
    
def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
        while front_is_clear():
            move()
            
def turn_right():
    for i in range(3):
        turn_left()
        
        
if __name__ == '__main__':
    main()","from kanel.stanfordkarel import
def main ():
while front_is_ clear():
bill tower ()
def fill_tower ():
-
while front_is_ clear ():
put-beeper ()
move()
put_beeper()
column_return ()
def column_return ():
if
def turn around ():
while front_is_blocked ():
turn-around()
while front_is_ clear():
move ()
next-tower()
-
def next tower ():
if right_is_dean ():
turn_right()
move()
turn_right()
for i in range (2):
turn_left()
—
else:
turn around ()
while front_is_dear():
def turn_right():
-
move()
-
name
main ()
for i in range (3):
turn_left()
_main_':",366,"from karel.stanfordkarel import *
def main ():
while front_is_dear () :
fill_tower ()
def fill_tower ():
while front_is_dear ():
put-beeper ()
move ()
put_beeper ()
column_return ()
def colurn-return () :
while front_is_blocked ( ):
turn-around ()
while front_is_clear () :
move ()
next_tower ()
def turn_around () :
for \( i \) in range (2):
turn-left ()
def next_tower ( ) :
if right_is_dear ( ):
turn_right ()
move ()
turn_right ()
else:
turn_around( )
while front_is_dear ():
move ()
def turn_right () :
for \( i \) in range (3):
turn_left ()
if _ name \( ==1 \) _ main _ '
main ()",292,"
from karel.stanfordkarel import *
def main():
    while front_is_clear():
        fill_tower()
def fill_tower():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
    column_return()
def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()
def turn_around():
    for i in range(2):
        turn_left()
def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
        while front_is_clear():
            move()
def turn_right():
    for i in range(3):
        turn_left()
if __name__ == ""__main__"":
    main()
",66,"
from karel.stanfordkarel import *
def main():
	while front_is_clear():
		fill_tower()
def fill_tower():
	while front_is_clear():
		put_beeper()
		move()
	put_beeper()
	column_return()
def column_return():
	while front_is_blocked():
		turn_around()
	while front_is_clear():
		move()
	next_tower()
def turn_around():
	for i in range(2):
		turn_left()
def next_tower():
	if right_is_clear():
		turn_right()
		move()
		turn_right()
	else:
		turn_around()
		while front_is_clear():
			move()
def turn_right():
	for i in range(3):
		turn_left()
if __name__ == ""__main__"":
	main()
",222,"
from karel.stanfordkarel import *
def main():
	while front_is_clear():
		fill_tower()

def fill_tower():
	while front_is_clear():
		put_beeper()
		move()
	put_beeper()
	column_return()

def column_return():
	while front_is_blocked():
		turn_around()
	while front_is_clear():
		move()
	next_tower()

def turn_around():
	for i in range(2):
		turn_left()

def next_tower():
	if right_is_clear():
		turn_right()
		move()
		turn_right()
	else:
		turn_around()
		while front_is_clear():
			move()

def turn_right():
	for i in range(3):
		turn_left()

if __name__ == ""__main__"":
	main()
",216
"def filter_string_a(string):
      string.sort()
      filtered_string_list = [ ]
      for str in string:
             if str.startswith(""a""):
                    filtered_string_list.append(str)
       return filtered_string_list
input_string = [""apple"", ""banana"", ""avacado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)","der fitters string - a (string);
sont ()
string.
filtered_string_list = [3
toru
1
in
string:
stru. start with (""a"");
stru
filtreried_rodring-lirt: append
returen filtered_string-lit
(stru)
imput_string = [""apple"", ""bunana"", ""avacad""
""cheveny"", ""apriest""""]
output = filtern-string- a (imput_string)
print (output)",131,"def filteru-string-a (ntring):
string. sont ()
filtered-string_list \( =[] \)
for stre in atring:
if stru. Ptark with (""an):
fiterced-atring-lint. append (stru)
return filtered-rtring-lirst
imput_rting \( z \) ""apple"", ""bunana"", ""avacado"" ""cherry"" ""apricot"" pring (output)",146,"
def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for str_ in string:
        if str_.startswith(""a""):
            filtered_string_list.append(str_)
    return filtered_string_list

input_string = [""apple"", ""banana"", ""avocado"", ""cherry"", ""apricot""]
print(input_string)
",62,"
def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for str in string:
        if str.startswith(""a""):
            filtered_string_list.append(str)
    return filtered_string_list

input_string = [""apple"", ""banana"", ""avocado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)
",27,"
def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for stru in string:
        if stru.startswith(""a""):
            filtered_string_list.append(stru)
    return filtered_string_list

input_string = [""apple"", ""banana"", ""avocado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)
",30
