Data Id,Ground Truth,Azure Double Prompting,Change Category Double Prompting,Azure LM Low,Change Category Low,Azure LM Medium,Change Category Medium,Azure LM High,Change Category High,Code Type,,,,Categories:,,,,,,,,
29,"def main():
    """"""
    The program should determine whether the given year is a leap year
    (divisible by 4, divisible by 100 but also by 400).
    """"""
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below(in number form)."")
    Year = int(input(""Year : ""))
    print("" "")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" "" + ""is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" "" + ""is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" or ask != ""yes"" or ask != ""No"" or ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()
","def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("""")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("""")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print("""")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("""")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        else:
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()
",Small Change in the Comment,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4 == 0) and (Year % 100 != 0 or Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" and ask != ""yes"" and ask != ""No"" and ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",Logical Fix,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" and ask != ""yes"" and ask != ""No"" and ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",Small Change in the Comment,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("""")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("""")
    if (Year % 4 == 0 and Year % 100 != 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("""")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("""")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        else:
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",Logical Fix,Console,,,,,,,,,,,,
30,"sum = 0
number = input()
for i in number:
    sum += int(i)
Print(sum)
","Sun = 0
number = input()
for i in number:
    Sun += int(i)
print(Sun)
",Small Syntax Fix,"Sum = 0
number = input()
for i in number:
    Sum += int(i)
print(Sum)
",Small Syntax Fix,"Sum = 0
number = input()
for i in number:
    Sum += int(i)
print(Sum)
",Small Syntax Fix,"Sum = 0
number = input()
for i in number:
    Sum += int(i)
print(Sum)
",Small Syntax Fix,Console,,,,,,,,,,,,
31,"def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n - 1) * n
print(factorial(int(input())))
","def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n-1) * h
print(factorial(int(input())))
",No Change,"def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n - 1) * n


print(factorial(int(input())))
",No Change,"def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n - 1) * n


print(factorial(int(input())))
",No Change,"def factorial(n):
    if n <= 1:
        return 1
    else:
        return n * factorial(n - 1)


print(factorial(int(input())))
",No Change,Console,,,,,,,,,,,,
32,"year = int(input)
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
","year = int(input())
if year / 4 == 0 and year 0/ 100 != 0 or year / 400 == 0:
    print(True)
else:
    print(False)
",No Change,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",No Change,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",No Change,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
",No Change,Console,,,,,,,,,,,,
33,"Word = input()
Word = "" "".join([i for i in word[::-1]])
Print(Word)
","word = input()
word = """".join([i for i in word[-])
print(word)
",Missed Something From Ground Truth,"word = input()
word = """".join([i for i in word])
print(word)
",Small Syntax Fix,"word = input()
word = """".join([i for i in word])
print(word)
",Small Syntax Fix,"word = input()
word = """".join([i for i in word[::-1]])
print(word)
",Small Syntax Fix,Console,,,,,,,,,,,,
34,"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)
","list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
Print(list3)
",No Change,"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)
",No Change,"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)
",No Change,"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)
",No Change,Console,,,,,,,,,,,,
35,"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)
","list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i|2==0]
print(even)
",No Change,"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)
",No Change,"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)
",No Change,"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)
",No Change,Console,,,,,,,,,,,,
36,"def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")

if __name__ == ""__main__"":
    main()
","def main():
    year = int(input())
    if (year % 4 == 0 and year % 100 != 0):
        print(""True"")
    elif (year % 100 == 0 and year % 400 = 0):
        print(""True"")
    else:
        print(""False"")

if __name__ == ""__main__"":
    main()
",No Change,"def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
37,"from karel.stanfordkarel import *

def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
","from karel.stanfordkarel import *

def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()


def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()


def build_beeper():
    put_beeper()
    move()


def go_back():
    turn_around()
    step_up()


def turn_around():
    turn_left()
    turn_left()


def step_up():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()


def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()


def build_beeper():
    put_beeper()
    move()


def go_back():
    turn_around()
    step_up()


def turn_around():
    turn_left()
    turn_left()


def step_up():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()


def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()


def build_beeper():
    put_beeper()
    move()


def go_back():
    turn_around()
    step_up()


def turn_around():
    turn_left()
    turn_left()


def step_up():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
38,"def main():
    input_string = input('Input string: ')
    ret = """"
    for ch in input_string:
        ret = ret + ch.upper()
    print ret
if __name__ == '__main__':
    main()
","def main():
    input_string = input('Input string:')
    ret = "" ""
    for ch in input_string:
        ret = ret + ch.upper()
    print ret

if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    input_string = input(""Input string:"")
    ret = "" ""
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    input_string = input(""Input string:"")
    ret = "" ""
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    input_string = input(""Input string:"")
    ret = "" ""
    for ch in input_string:
        ret = ret + ch.upper()
    print(ret)


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,Console,,,,,,,,,,,,
39,"from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move
    turn_right()
    move()
    turn_left()
    move()

def turn_around():
    turn_left()
    turn_left()
","from Karel.StanfordKarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move
    turn_right()
    move()
    turn_left()
    move()

def turn_around():
    turn_left()
    turn_left()
",No Change,"from Karel.StanfordKarel import *


def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()


def move_to_beeper():
    while front_is_clear():
        move()
    turn_right()
    move()
    turn_left()
    move()


def turn_around():
    turn_left()
    turn_left()
",No Change,"from karel.stanfordkarel import *


def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()


def move_to_beeper():
    while front_is_clear():
        move()
    turn_right()
    move()
    turn_left()
    move()


def turn_around():
    turn_left()
    turn_left()
",No Change,"from karel.stanfordkarel import *


def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()


def move_to_beeper():
    while front_is_clear():
        move()
    turn_right()
    move()
    turn_left()
    move()


def turn_around():
    turn_left()
    turn_left()
",No Change,Console,,,,,,,,,,,,
40,"from karel.stanfordkarel import *

def main():
    while front_is_clear():
        fill_tower()

def fill_tower():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
    column_return()

def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()

def turn_around():
    for i in range(2):
        turn_left()

def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
        while front_is_clear():
            move()

def turn_right():
    for i in range(3):
        turn_left()

if __name__ == ""__main__"":
    main()
","from karel.stanfordkarel import *

def main():
    while front_is_clear():
        fill_tower()

def fill_tower():
    while front_is_clear():
        put_beeper()
        move()
        put_beeper()
    column_return()

def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()

def turn_around():
    for i in range(2):
        turn_left()

def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
    while front_is_clear():
        move()

def turn_right():
    for i in range(3):
        turn_left()

if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    while front_is_clear():
        build_tower()


def build_tower():
    while front_is_clear():
        put_beeper()
        move()
        put_beeper()
        column_return()


def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()


def turn_around():
    for i in range(2):
        turn_left()


def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
    while front_is_clear():
        move()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    while front_is_clear():
        build_tower()


def build_tower():
    while front_is_clear():
        put_beeper()
        move()
        put_beeper()
    column_return()


def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()


def turn_around():
    for i in range(2):
        turn_left()


def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
    while front_is_clear():
        move()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    while front_is_clear():
        build_tower()
        next_tower()


def build_tower():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
    column_return()


def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()


def turn_around():
    for i in range(2):
        turn_left()


def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
        while front_is_clear():
            move()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
41,"def filter_string_a(string):
      string.sort()
      filtered_string_list = [ ]
      for str in string:
             if str.startswith(""a""):
                    filtered_string_list.append(str)
       return filtered_string_list
input_string = [""apple"", ""banana"", ""avacado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)
","def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for stru in string:
        if stru.startswith(""a""):
            filtered_string_list.append(stru)
    return filtered_string_list
input_string = [""apple"", ""banana"", ""avocado"", ""chewing"", ""apricot""]
Output = filter_string_a(input_string)
print(Output)
",Small Variable/Function Name Change,"def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for stru in string:
        if stru.startswith(""a""):
            filtered_string_list.append(stru)
    return filtered_string_list


input_string = [""apple"", ""banana"", ""avocado"", ""chewing"", ""apricot""]
output = filter_string_a(input_string)
print(output)
",Small Variable/Function Name Change,"def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for stru in string:
        if stru.startswith(""a""):
            filtered_string_list.append(stru)
    return filtered_string_list


input_string = [""apple"", ""banana"", ""avocado"", ""chewing"", ""apricot""]
output = filter_string_a(input_string)
print(output)
",Small Variable/Function Name Change,"def filter_string_a(string):
    string.sort()
    filtered_string_list = []
    for stru in string:
        if stru.startswith(""a""):
            filtered_string_list.append(stru)
    return filtered_string_list


input_string = [""apple"", ""banana"", ""avocado"", ""chewing"", ""apricot""]
output = filter_string_a(input_string)
print(output)
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
42,"def main():
  while front_is_clear():
      move()
  if front_is_blocked():
      turn_around()
  move()
  turn_left()
  move()
  pick_beeper()
  turn_left()
  turn_left()
  while front_is_clear():
      move()
  if front_is_blocked():
      turn_around()
  move()
  turn_around()

def turn_around():
    for i in range(3)
        turn_left ()
","def main:
    while front_is_clear():
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_left()
        move()
        pick_beeper()
        turn_left()
        turn_left()
    while front_is_clear()!
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_around()

def turn_around():
    for i in range(3):
        left()
",Small Change in the Indentation,"def main():
    while front_is_clear():
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_left()
        move()
        pick_beeper()
        turn_left()
        turn_left()
    while front_is_clear():
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_around()


def turn_around():
    for i in range(3):
        left()
",Small Change in the Indentation,"def main():
    while front_is_clear():
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_left()
        move()
        pick_beeper()
        turn_left()
        turn_left()
    while front_is_clear():
        move()
    if front_is_blocked():
        turn_around()
        move()
        turn_around()


def turn_around():
    for i in range(3):
        left()
",Small Change in the Indentation,"def main():
    while front_is_clear():
        move()
        if front_is_blocked():
            turn_around()
            move()
            turn_left()
            move()
            pick_beeper()
            turn_left()
            turn_left()
    while front_is_clear():
        move()
        if front_is_blocked():
            turn_around()
            move()
            turn_around()


def turn_around():
    for i in range(2):
        turn_left()
",Small Change in the Indentation,Console,,,,,,,,,,,,
43,"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return False
    else:
        return False

def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)

if __name__ == ""__main__"":
    main()
","def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return False
    else:
        return False

def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)

if __name__ == ""__main__"":
    main()
",No Change,"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False


def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)


if __name__ == ""__main__"":
    main()
",No Change,"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False


def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)


if __name__ == ""__main__"":
    main()
",No Change,"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return True
    else:
        return False


def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
44,"def main():
    print("" problem - 5 "")
    print(""-----------------"")
    numb = int(input(""write an  number: ""))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's digit: "", add_numb)

if __name__ == ""__main__"":
    main()
","def main():
    print(""problem - 5"")
    numb = int(input('write an integer number:'))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's:"", add_numb)

if __name__ == ""__main__"":
    main()
",Print Statement Change,"def main():
    print(""problem - 5"")
    numb = int(input(""write an integer number: ""))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's: "", add_numb)


if __name__ == ""__main__"":
    main()
",Print Statement Change,"def main():
    print(""problem - 5"")
    numb = int(input(""write an integer number: ""))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's: "", add_numb)


if __name__ == ""__main__"":
    main()
",Print Statement Change,"def main():
    print(""problem - 5"")
    numb = int(input(""write an integer number: ""))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's digits: "", add_numb)


if __name__ == ""__main__"":
    main()
",Print Statement Change,Console,,,,,,,,,,,,
45,"list = [6, 14, 5, 8, 9]
for elem in list:
    max = 0
    if elem > max:
        max = elem
return max
","list = [6, 11, 5, 8, 9]
for elem in list:
    max = 0
    if elem > max:
        max = elem
    return max
",No Change,"list = [6, 11, 5, 8, 9]
max = 0
for elem in list:
    if elem > max:
        max = elem
return max
",Logical Fix,"list = [6, 11, 5, 8, 9]
max = 0
for elem in list:
    if elem > max:
        max = elem
print(max)
",Logical Fix,"list = [6, 11, 5, 8, 9]
max_val = 0
for elem in list:
    if elem > max_val:
        max_val = elem
print(max_val)
",Logical Fix,Console,,,,,,,,,,,,
46,"def palindromic(str):
    for i in range(int(len(str) / 2)):
        if str[i] != str[len(str) - i]:
            return False
    return True
","def palindromic(stro):
    for i in range(int(len(stro)/2)):
        if stro[i] != stro[len(stro) - i]:
            return False
    return True
",Small Variable/Function Name Change,"def palindromic(stro):
    for i in range(int(len(stro) / 2)):
        if stro[i] != stro[len(stro) - i - 1]:
            return False
    return True
",Logical Fix,"def palindromic(stro):
    for i in range(int(len(stro) / 2)):
        if stro[i] != stro[len(stro) - i - 1]:
            return False
    return True
",Logical Fix,"def palindromic(stro):
    for i in range(int(len(stro) / 2)):
        if stro[i] != stro[len(stro) - i - 1]:
            return False
    return True
",Logical Fix,Console,,,,,,,,,,,,
47,"def factorial(n):
    result = n * factorial(n - 1)
    return result
","def factorial(n):
    result = n * factorial(n-1)
    return result
",No Change,"def factorial(n):
    result = n * factorial(n - 1)
    return result
",No Change,"def factorial(n):
    if n == 1:
        return 1
    else:
        result = n * factorial(n - 1)
        return result
",No Change,"def factorial(n):
    if n == 1 or n == 0:
        return 1
    else:
        result = n * factorial(n - 1)
        return result
",No Change,Console,,,,,,,,,,,,
48,"def fibonacci(n):
    sequence = [0, 1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i + 1] + sequence[i + 2])
        i += 1
    return sequence
result = fibonacci(5)
print(result)
","def fibonacci(n):
    sequence = [0,1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i]+sequence[i+2])
        i = 1
    return sequence
result = fibonacci(5)
print(result)
",Missed Something From Ground Truth,"def fibonacci(n):
    sequence = [0, 1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i] + sequence[i + 1])
        i += 1
    return sequence
result = fibonacci(5)
print(result)
",Logical Fix,"def fibonacci(n):
    sequence = [0, 1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i] + sequence[i + 1])
        i += 1
    return sequence
result = fibonacci(5)
print(result)
",Logical Fix,"def fibonacci(n):
    sequence = [0, 1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i] + sequence[i + 1])
        i += 1
    return sequence
result = fibonacci(5)
print(result)
",Logical Fix,Console,,,,,,,,,,,,
49,"def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        freq[item] += 1
    return freq
","def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        freq[item] += 1
    return freq
",No Change,"def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        freq[item] += 1
    return freq
",No Change,"def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        freq[item] = freq.get(item, 0) + 1
    return freq
",Added code that was not present,"def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        if item in freq:
            freq[item] += 1
        else:
            freq[item] = 1
    return freq
",Logical Fix,Console,,,,,,,,,,,,
50,"def twoSum(nums, target):
    for i in range(len(nums)):
        for p in range(i, len(nums)):
            if nums[i] + nums[p] == target:
                return [i, p]
","def twoSum(nams, target):
    for i in range(len(nams)):
        for p in range(i, len(nams)):
            if (nams[i] + nams[p] == target):
                return [i, p]
",No Change,"def two_sum(nums, target):
    for i in range(len(nums)):
        for p in range(i, len(nums)):
            if nums[i] + nums[p] == target:
                return [i, p]
",No Change,"def two_sum(nums, target):
    for i in range(len(nums)):
        for p in range(i, len(nums)):
            if nums[i] + nums[p] == target:
                return [i, p]
",No Change,"def two_sum(nums, target):
    for i in range(len(nums)):
        for p in range(i, len(nums)):
            if nums[i] + nums[p] == target:
                return [i, p]
",No Change,Console,,,,,,,,,,,,
51,"def Remove(duplicate):
	for num in duplicate:
	final_list = []
	if num not in final_list:
		final_list.append(num)
	return final_list
","def Remove(duplicate):
    for num in duplicate:
        final_list = []
        if num not not in final_list:
            final_list.append(num)
    return final_list
",No Change,"def Remove(duplicate):
    final_list = []
    for num in duplicate:
        if num not in final_list:
            final_list.append(num)
    return final_list
",Logical Fix,"def Remove(duplicate):
    final_list = []
    for num in duplicate:
        if num not in final_list:
            final_list.append(num)
    return final_list
",Logical Fix,"def Remove(duplicate):
    final_list = []
    for num in duplicate:
        if num not in final_list:
            final_list.append(num)
    return final_list
",Logical Fix,Console,,,,,,,,,,,,
52,"def even_or_odd(number):
    if number / 2 == 0:
        return ""Even""
    if number / 2 != 0:
        return ""Odd""
","def even_or_odd(number):
    if number / 2 == 0:
        return ""Even""
    if number / 2 != 0:
        return ""Odd""
",No Change,"def even_or_odd(number):
    if number % 2 == 0:
        return ""Even""
    if number % 2 != 0:
        return ""Odd""
",Logical Fix,"def even_or_odd(number):
    if number % 2 == 0:
        return ""Even""
    if number % 2 != 0:
        return ""Odd""
",Logical Fix,"def even_or_odd(number):
    if number % 2 == 0:
        return ""Even""
    if number % 2 != 0:
        return ""Odd""
",Logical Fix,Console,,,,,,,,,,,,
